profile_id,owner,repo,dependency_root,package_manager,package_manager_version,classification,resolution_source,source_lockfile,resolved_lockfile,lockfile_changed,resolve_elapsed_ms,exit_code
swesmith/Automattic__mongoose.5f57a5bb,Automattic,mongoose,.,npm,9.2.0,missing_requires_resolution,native_resolver,,resolved-lockfiles/root/package-lock.json,True,65269,0
swesmith/Effect-TS__effect.5df4da10,Effect-TS,effect,.,pnpm,10.17.1,existing_requires_resolution,native_resolver,pnpm-lock.yaml,resolved-lockfiles/root/pnpm-lock.yaml,True,4629,0
swesmith/FuelLabs__fuels-ts.b3f37c91,FuelLabs,fuels-ts,.,pnpm,9.4.0,existing_requires_resolution,native_resolver,pnpm-lock.yaml,resolved-lockfiles/root/pnpm-lock.yaml,False,1031,0
swesmith/GitbookIO__gitbook.81f8ddcf,GitbookIO,gitbook,.,bun,1.3.7,unsupported_or_manual_review,native_resolver_failed,bun.lock,,False,409,1
swesmith/NativeScript__NativeScript.3d6a4392,NativeScript,NativeScript,.,npm,9.2.0,existing_requires_resolution,native_resolver,package-lock.json,resolved-lockfiles/root/package-lock.json,False,22464,0
swesmith/Netflix__falcor.39d64776,Netflix,falcor,.,npm,,unsupported_or_manual_review,invalid_source_lockfile,package-lock.json,,False,1,
swesmith/OpenCut-app__OpenCut.e84c0cfd,OpenCut-app,OpenCut,.,bun,1.2.18,existing_requires_resolution,native_resolver,bun.lock,resolved-lockfiles/root/bun.lock,False,428,0
swesmith/ReactiveX__rxjs.c15b37f8,ReactiveX,rxjs,.,yarn,1.22.21,authoritative_existing,existing_lockfile,yarn.lock,resolved-lockfiles/root/yarn.lock,False,3,0
swesmith/Redocly__redoc.d41fd46f,Redocly,redoc,.,npm,9.2.0,existing_requires_resolution,native_resolver,package-lock.json,resolved-lockfiles/root/package-lock.json,False,21554,0
swesmith/Shopify__draggable.8a1eed57,Shopify,draggable,.,yarn,1.22.22,existing_requires_resolution,native_resolver,yarn.lock,resolved-lockfiles/root/yarn.lock,False,6823,0
swesmith/advplyr__audiobookshelf.626596b1,advplyr,audiobookshelf,.,npm,,authoritative_existing,existing_lockfile,package-lock.json,resolved-lockfiles/root/package-lock.json,False,22,0
swesmith/advplyr__audiobookshelf.626596b1,advplyr,audiobookshelf,client,npm,,authoritative_existing,existing_lockfile,package-lock.json,resolved-lockfiles/client/package-lock.json,False,8,0
swesmith/ajayyy__SponsorBlock.dfddffbc,ajayyy,SponsorBlock,.,npm,9.2.0,existing_requires_resolution,native_resolver,package-lock.json,resolved-lockfiles/root/package-lock.json,False,28808,0
swesmith/antvis__G6.91c0ac85,antvis,G6,.,pnpm,9.15.5,missing_requires_resolution,native_resolver,,resolved-lockfiles/root/pnpm-lock.yaml,True,100992,0
