profile_id,owner,repo,commit,language,node_version,package_manager,package_manager_version,dependency_roots,discovery_status,discovery_elapsed_ms,validation_status,validation_elapsed_ms
swesmith/advplyr__audiobookshelf.626596b1,advplyr,audiobookshelf,626596b192013ba9f5a011dd110e288124c95ebe,javascript,18,npm,,2,success,401911,success,40689
swesmith/ajayyy__SponsorBlock.dfddffbc,ajayyy,SponsorBlock,dfddffbc5128dbc55b4dc7c83cdcd18787f48ba4,typescript,18,npm,,1,success,180698,success,11166
swesmith/antvis__G6.91c0ac85,antvis,G6,91c0ac85e4e636a05bd1a3c5e56a4928d1242a9b,typescript,20,pnpm,,1,success,1045,other_failure,69813
swesmith/Automattic__mongoose.5f57a5bb,Automattic,mongoose,5f57a5bbb2e8dfed8d04be47cdd17728633c44c1,javascript,18,npm,,1,success,987,success,5165
swesmith/axios__axios.ef36347f,axios,axios,ef36347fb559383b04c755b07f1a8d11897fab7f,javascript,18,npm,,1,success,1050,other_failure,20170
swesmith/babel__babel.2ea3fc8f,babel,babel,2ea3fc8f9b33a911840f17fbc407e7bfae2ed66f,javascript,20,yarn,4.9.1,1,success,1036,other_failure,6221
swesmith/balderdashy__sails.ffebacc5,balderdashy,sails,ffebacc58c27f878c9373702bc3a3f91a02bca0c,javascript,18,npm,,1,success,990,success,3928
swesmith/bluesky-social__social-app.cbd48c85,bluesky-social,social-app,cbd48c855a57f1a294f4b7362eaadb505bf5f9f6,typescript,20,yarn,1.22.22,1,success,1140,other_failure,4
swesmith/bootstrap-vue__bootstrap-vue.9a246f45,bootstrap-vue,bootstrap-vue,9a246f45fc813f161df291fc7d6197febf8afaf4,javascript,18,yarn,,1,success,1106,external_artifact_miss,31522
swesmith/bpampuch__pdfmake.719e7314,bpampuch,pdfmake,719e73140cce75a792f7f419c27fc33a230e73d2,javascript,18,npm,,1,success,1008,success,4275
swesmith/brianc__node-postgres.ecff60dc,brianc,node-postgres,ecff60dc8aa0bd1ad5ea8f4623af0756a86dc110,javascript,20,yarn,,1,success,984,external_artifact_miss,14375
swesmith/caolan__async.23dbf76a,caolan,async,23dbf76aeb04c7c3dd56276115b277e3fa9dd5cc,javascript,18,npm,,1,success,1078,success,3694
swesmith/coder__code-server.e90504b8,coder,code-server,e90504b8cf1d73c36d902bbaaec7bab33f15c42e,typescript,22,npm,,1,success,989,other_failure,5988
swesmith/directus__directus.ac922d18,directus,directus,ac922d18f6039582a18737a6dc6d1d9a08a194e8,typescript,22,pnpm,10,1,success,1135,other_failure,3
swesmith/Effect-TS__effect.5df4da10,Effect-TS,effect,5df4da10de444f379a166f4b28721e75100bb838,typescript,20,pnpm,10.17.1,1,success,1151,external_artifact_miss,2461
swesmith/emotion-js__emotion.b882bcba,emotion-js,emotion,b882bcba85132554992e4bd49e94c95939bbf810,javascript,18,yarn,3.2.3,1,success,1148,other_failure,10119
swesmith/enzymejs__enzyme.61e1b47c,enzymejs,enzyme,61e1b47c4bdc4509b2ac286c0d3ae3df172d26f0,javascript,18,npm,,1,success,1026,external_artifact_miss,2
swesmith/fabricjs__fabric.js.6742471c,fabricjs,fabric.js,6742471c23e5fd8afbb1282246b4b785455c8c17,typescript,20,npm,,1,success,1122,external_artifact_miss,2
swesmith/foambubble__foam.2cac8162,foambubble,foam,2cac816272157f3a964b30adf4f29c0b2973cce8,typescript,18,yarn,,1,success,1089,external_artifact_miss,21154
swesmith/foliojs__pdfkit.d0108157,foliojs,pdfkit,d0108157f13d763ad5287a2293436b5a1aecf055,javascript,18,yarn,4.10.3,1,success,1039,other_failure,1945
swesmith/FuelLabs__fuels-ts.b3f37c91,FuelLabs,fuels-ts,b3f37c91aca4aa9d5e4c0d3967f66237190826ea,typescript,20,pnpm,9.4.0,1,success,1130,other_failure,3
swesmith/GitbookIO__gitbook.81f8ddcf,GitbookIO,gitbook,81f8ddcf27ec398a33b6f676a81e9a791b673ce2,typescript,,bun,1.3.7,1,success,1102,other_failure,2
swesmith/homebridge__homebridge.3a341e08,homebridge,homebridge,3a341e0838c99abfdf7a2d76e5e1e2a2af7ccb09,typescript,20,npm,,1,success,1159,other_failure,8961
swesmith/humanlayer__12-factor-agents.d20c7283,humanlayer,12-factor-agents,d20c728368bf9c189d6d7aab704744decb6ec0cc,typescript,20,npm,,1,success,1058,success,2024
swesmith/iamkun__dayjs.c8a26460,iamkun,dayjs,c8a26460d89a2ee9a7d3b9cafa124ea856ee883f,javascript,18,npm,,1,success,1158,success,7389
swesmith/jantimon__html-webpack-plugin.9a39db80,jantimon,html-webpack-plugin,9a39db807c09d8e6145e5047cfe2ec5e928e1dee,javascript,18,npm,,1,success,5117,other_failure,3
swesmith/jaredpalmer__formik.91475adb,jaredpalmer,formik,91475adbf33579561e580eceea0c031f4ec2e992,typescript,18,yarn,1.22.22,1,success,1009,external_artifact_miss,3
swesmith/josdejong__jsoneditor.0319b213,josdejong,jsoneditor,0319b2131df47f1220d74e3ff174d5c02973ec7d,javascript,20,npm,,1,success,1098,success,4345
swesmith/josdejong__mathjs.04e6e2d7,josdejong,mathjs,04e6e2d7a949d6ddc7d7139bf1e3a88e6fe5365b,javascript,18,npm,,1,success,1063,success,5032
swesmith/marko-js__marko.24b9402c,marko-js,marko,24b9402cd54c3a74f200da0f79dd19350995a9ba,javascript,20,npm,,1,success,1101,other_failure,4
swesmith/marmelab__react-admin.823caa0b,marmelab,react-admin,823caa0b6489fc8133685525e22d30ddf57643fa,typescript,20,yarn,4.0.2,1,success,1137,other_failure,4099
swesmith/mholt__PapaParse.b10b87ef,mholt,PapaParse,b10b87ef8686c6f88299b50dd25e83606e9c36d4,javascript,18,npm,,1,success,1024,success,1668
swesmith/microsoft__vscode.4166e90a,microsoft,vscode,4166e90ac290db7f77800a4f6702903ea4eed476,typescript,22,npm,,1,success,1100,external_artifact_miss,18816
