profile_id,dependency_root,package_manager,package_manager_version,classification,resolution_source,source_lockfile,resolved_lockfile,lockfile_changed,resolve_elapsed_ms,normalize_elapsed_ms,validation_elapsed_ms,exit_code
swesmith/advplyr__audiobookshelf.626596b1,.,npm,,authoritative_existing,existing_lockfile,package-lock.json,resolved-lockfiles/root/package-lock.json,False,20,4,2689,0
swesmith/advplyr__audiobookshelf.626596b1,client,npm,,authoritative_existing,existing_lockfile,package-lock.json,resolved-lockfiles/client/package-lock.json,False,6,13,38000,0
swesmith/ajayyy__SponsorBlock.dfddffbc,.,npm,9.2.0,existing_requires_resolution,native_resolver,package-lock.json,resolved-lockfiles/root/package-lock.json,False,230094,9,11166,0
swesmith/antvis__G6.91c0ac85,.,pnpm,9.15.5,missing_requires_resolution,native_resolver,,resolved-lockfiles/root/pnpm-lock.yaml,True,68071,1377,69813,0
swesmith/Automattic__mongoose.5f57a5bb,.,npm,9.2.0,missing_requires_resolution,native_resolver,,resolved-lockfiles/root/package-lock.json,True,408542,9,5165,0
swesmith/axios__axios.ef36347f,.,npm,9.2.0,existing_requires_resolution,native_resolver,package-lock.json,resolved-lockfiles/root/package-lock.json,False,305023,19,20170,0
swesmith/babel__babel.2ea3fc8f,.,yarn,4.9.1,existing_requires_resolution,native_resolver,yarn.lock,resolved-lockfiles/root/yarn.lock,False,1232,19,6221,0
swesmith/balderdashy__sails.ffebacc5,.,npm,9.2.0,missing_requires_resolution,native_resolver,,resolved-lockfiles/root/package-lock.json,True,383378,6,3928,0
swesmith/bluesky-social__social-app.cbd48c85,.,yarn,1.22.22,unsupported_or_manual_review,native_resolver_failed,yarn.lock,,False,307,33,4,1
swesmith/bootstrap-vue__bootstrap-vue.9a246f45,.,yarn,,authoritative_existing,existing_lockfile,yarn.lock,resolved-lockfiles/root/yarn.lock,False,3,26,31522,0
swesmith/bpampuch__pdfmake.719e7314,.,npm,9.2.0,missing_requires_resolution,native_resolver,,resolved-lockfiles/root/package-lock.json,True,432052,6,4275,0
swesmith/brianc__node-postgres.ecff60dc,.,yarn,1.22.22,existing_requires_resolution,native_resolver,yarn.lock,resolved-lockfiles/root/yarn.lock,False,7990,17,14375,0
swesmith/caolan__async.23dbf76a,.,npm,9.2.0,existing_requires_resolution,native_resolver,package-lock.json,resolved-lockfiles/root/package-lock.json,False,399911,7,3694,0
swesmith/coder__code-server.e90504b8,.,npm,9.2.0,existing_requires_resolution,native_resolver,package-lock.json,resolved-lockfiles/root/package-lock.json,False,318791,4,5988,0
swesmith/directus__directus.ac922d18,.,pnpm,10,unsupported_or_manual_review,native_resolver_failed,pnpm-lock.yaml,,False,6758,1214,3,1
swesmith/Effect-TS__effect.5df4da10,.,pnpm,10.17.1,existing_requires_resolution,native_resolver,pnpm-lock.yaml,resolved-lockfiles/root/pnpm-lock.yaml,True,204870,574,2461,0
swesmith/emotion-js__emotion.b882bcba,.,yarn,3.2.3,existing_requires_resolution,native_resolver,yarn.lock,resolved-lockfiles/root/yarn.lock,False,39664,30,10119,0
swesmith/enzymejs__enzyme.61e1b47c,.,npm,9.2.0,missing_requires_resolution,native_resolver,,resolved-lockfiles/root/package-lock.json,True,445440,13,2,0
swesmith/fabricjs__fabric.js.6742471c,.,npm,9.2.0,existing_requires_resolution,native_resolver,package-lock.json,resolved-lockfiles/root/package-lock.json,False,65382,6,2,0
swesmith/foambubble__foam.2cac8162,.,yarn,1.22.22,existing_requires_resolution,native_resolver,yarn.lock,resolved-lockfiles/root/yarn.lock,False,116173,19,21154,0
swesmith/foliojs__pdfkit.d0108157,.,yarn,4.10.3,existing_requires_resolution,native_resolver,yarn.lock,resolved-lockfiles/root/yarn.lock,False,543,8,1945,0
swesmith/FuelLabs__fuels-ts.b3f37c91,.,pnpm,9.4.0,unsupported_or_manual_review,native_resolver_failed,pnpm-lock.yaml,,False,4013,1229,3,1
swesmith/GitbookIO__gitbook.81f8ddcf,.,bun,1.3.7,unsupported_or_manual_review,native_resolver_failed,bun.lock,,False,330,6606,2,1
swesmith/homebridge__homebridge.3a341e08,.,npm,9.2.0,existing_requires_resolution,native_resolver,package-lock.json,resolved-lockfiles/root/package-lock.json,True,421883,7,8961,0
swesmith/humanlayer__12-factor-agents.d20c7283,packages/walkthroughgen,npm,9.2.0,existing_requires_resolution,native_resolver,package-lock.json,resolved-lockfiles/packages__walkthroughgen/package-lock.json,False,387091,3,2024,0
swesmith/iamkun__dayjs.c8a26460,.,npm,9.2.0,existing_requires_resolution,native_resolver,package-lock.json,resolved-lockfiles/root/package-lock.json,False,35036,14,7389,0
swesmith/jantimon__html-webpack-plugin.9a39db80,.,npm,9.2.0,unsupported_or_manual_review,native_resolver_failed,package-lock.json,,False,1496,8,3,1
swesmith/jaredpalmer__formik.91475adb,.,yarn,1.22.22,authoritative_existing,existing_lockfile,yarn.lock,resolved-lockfiles/root/yarn.lock,False,3,26,3,0
swesmith/josdejong__jsoneditor.0319b213,.,npm,9.2.0,existing_requires_resolution,native_resolver,package-lock.json,resolved-lockfiles/root/package-lock.json,True,214316,7,4345,0
swesmith/josdejong__mathjs.04e6e2d7,.,npm,9.2.0,existing_requires_resolution,native_resolver,package-lock.json,resolved-lockfiles/root/package-lock.json,False,214897,8,5032,0
swesmith/marko-js__marko.24b9402c,.,npm,9.2.0,unsupported_or_manual_review,native_resolver_failed,package-lock.json,,False,634,6,4,236
swesmith/marmelab__react-admin.823caa0b,.,yarn,4.0.2,existing_requires_resolution,native_resolver,yarn.lock,resolved-lockfiles/root/yarn.lock,False,115857,24,4099,0
swesmith/mholt__PapaParse.b10b87ef,.,npm,9.2.0,missing_requires_resolution,native_resolver,,resolved-lockfiles/root/package-lock.json,True,392304,3,1668,0
swesmith/microsoft__vscode.4166e90a,.,npm,9.2.0,existing_requires_resolution,native_resolver,package-lock.json,resolved-lockfiles/root/package-lock.json,False,417330,12,18816,0
swesmith/mochajs__mocha.410ce0d2,.,npm,9.2.0,existing_requires_resolution,native_resolver,package-lock.json,resolved-lockfiles/root/package-lock.json,True,118693,14,9318,0
