resource_kind,object_name,from_version/config,to_version/config,transition_class,cost_class,median_ms,p95_ms,invalidation_targets,reuse_safe,sample_count,success_count,failure_count,timeout_count,workload_origin,benchmark_id,from_object_id,to_object_id
node_runtime,Node.js,cold,18.19.1,process_cold,TRANSITION,126.513325,130.7254192,,True,7,7,0,0,real,RUN-001,,node_runtime:18.19.1:linux:x86_64:glibc:abi109
node_runtime,Node.js,cold,20.19.1,process_cold,TRANSITION,132.305396,145.5591571,,True,7,7,0,0,real,RUN-001,,node_runtime:20.19.1:linux:x86_64:glibc:abi115
node_runtime,Node.js,cold,22.23.2,process_cold,TRANSITION,127.671573,134.4321814,,True,7,7,0,0,real,RUN-001,,node_runtime:22.23.2:linux:x86_64:glibc:abi127
node_runtime,Node.js,18.19.1,18.19.1,exact_hit,TRANSITION,120.904195,137.4668959,,True,7,7,0,0,real,RUN-002,node_runtime:18.19.1:linux:x86_64:glibc:abi109,node_runtime:18.19.1:linux:x86_64:glibc:abi109
node_runtime,Node.js,20.19.1,20.19.1,exact_hit,TRANSITION,5.008199,5.403707499999999,,True,7,7,0,0,real,RUN-002,node_runtime:20.19.1:linux:x86_64:glibc:abi115,node_runtime:20.19.1:linux:x86_64:glibc:abi115
node_runtime,Node.js,22.23.2,22.23.2,exact_hit,TRANSITION,112.054731,122.2716781,,True,7,7,0,0,real,RUN-002,node_runtime:22.23.2:linux:x86_64:glibc:abi127,node_runtime:22.23.2:linux:x86_64:glibc:abi127
node_runtime,Node.js,cold,18.19.1,process_cold,TRANSITION,118.99691,134.3744423,,True,7,7,0,0,real,RUN-003,,node_runtime:18.19.1:linux:x86_64:glibc:abi109
node_runtime,Node.js,cold,20.19.1,process_cold,TRANSITION,119.044761,126.01399169999999,,True,7,7,0,0,real,RUN-003,,node_runtime:20.19.1:linux:x86_64:glibc:abi115
node_runtime,Node.js,cold,22.23.2,process_cold,TRANSITION,123.29248,125.8879653,,True,7,7,0,0,real,RUN-003,,node_runtime:22.23.2:linux:x86_64:glibc:abi127
node_runtime,Node.js,18.19.1,18.19.1,exact_hit,TRANSITION,121.295858,138.72215110000002,,True,7,7,0,0,real,RUN-004,node_runtime:18.19.1:linux:x86_64:glibc:abi109,node_runtime:18.19.1:linux:x86_64:glibc:abi109
node_runtime,Node.js,18.19.1,20.19.1,incompatible_switch,TRANSITION,121.315857,125.1564939,build_cache;dependency_view;native_binary_bundle;test_transform_cache,True,7,7,0,0,real,RUN-004,node_runtime:18.19.1:linux:x86_64:glibc:abi109,node_runtime:20.19.1:linux:x86_64:glibc:abi115
node_runtime,Node.js,18.19.1,22.23.2,incompatible_switch,TRANSITION,120.550133,133.0180192,build_cache;dependency_view;native_binary_bundle;test_transform_cache,True,7,7,0,0,real,RUN-004,node_runtime:18.19.1:linux:x86_64:glibc:abi109,node_runtime:22.23.2:linux:x86_64:glibc:abi127
node_runtime,Node.js,20.19.1,18.19.1,incompatible_switch,TRANSITION,118.769872,129.3745713,build_cache;dependency_view;native_binary_bundle;test_transform_cache,True,7,7,0,0,real,RUN-004,node_runtime:20.19.1:linux:x86_64:glibc:abi115,node_runtime:18.19.1:linux:x86_64:glibc:abi109
node_runtime,Node.js,20.19.1,20.19.1,exact_hit,TRANSITION,120.983938,122.39086,,True,7,7,0,0,real,RUN-004,node_runtime:20.19.1:linux:x86_64:glibc:abi115,node_runtime:20.19.1:linux:x86_64:glibc:abi115
node_runtime,Node.js,20.19.1,22.23.2,incompatible_switch,TRANSITION,129.184258,137.23787850000002,build_cache;dependency_view;native_binary_bundle;test_transform_cache,True,7,7,0,0,real,RUN-004,node_runtime:20.19.1:linux:x86_64:glibc:abi115,node_runtime:22.23.2:linux:x86_64:glibc:abi127
node_runtime,Node.js,22.23.2,18.19.1,incompatible_switch,TRANSITION,119.646227,123.9647528,build_cache;dependency_view;native_binary_bundle;test_transform_cache,True,7,7,0,0,real,RUN-004,node_runtime:22.23.2:linux:x86_64:glibc:abi127,node_runtime:18.19.1:linux:x86_64:glibc:abi109
node_runtime,Node.js,22.23.2,20.19.1,incompatible_switch,TRANSITION,124.883531,130.0814312,build_cache;dependency_view;native_binary_bundle;test_transform_cache,True,7,7,0,0,real,RUN-004,node_runtime:22.23.2:linux:x86_64:glibc:abi127,node_runtime:20.19.1:linux:x86_64:glibc:abi115
node_runtime,Node.js,22.23.2,22.23.2,exact_hit,TRANSITION,123.274051,127.28314449999999,,True,7,7,0,0,real,RUN-004,node_runtime:22.23.2:linux:x86_64:glibc:abi127,node_runtime:22.23.2:linux:x86_64:glibc:abi127
node_runtime,Java/JVM | JDK+JVM args | JVM、Gradle daemon attach/switch,cold,v1,process_cold,TRANSITION,121.17982,130.9591066,,True,7,7,0,0,synthetic,RUN-007,,node_runtime:benchmark:run-007:default
node_runtime,Python | exact+venv/site hash | interpreter、venv switch,cold,v1,process_cold,TRANSITION,122.337677,129.26890210000002,,True,7,7,0,0,synthetic,RUN-008,,node_runtime:benchmark:run-008:default
node_runtime,shell | bash/dash+env | process、login/non-login,cold,v1,process_cold,TRANSITION,122.003933,130.02100439999998,,True,7,7,0,0,synthetic,RUN-009,,node_runtime:benchmark:run-009:default
