sequence_index,profile_id,profile_slug,resource_action_count,exact_action_count,proxy_action_count,reuse_hit_count,reuse_hit_rate,fresh_median_ms,reuse_median_ms,saved_ms,speedup_ratio,cleanup_ms,reuse_safe,pollution_failure_count,correctness_mismatch_count,task_status,notes
1,swesmith/advplyr__audiobookshelf.626596b1,advplyr__audiobookshelf.626596b1,10,8,2,10,1.0,17572.035766,1357.453739,16214.582027,12.944850539764877,0.0,True,0,0,pass_with_proxy_fallbacks,2 proxy action(s) used same-kind representative costs
2,swesmith/ajayyy__SponsorBlock.dfddffbc,ajayyy__SponsorBlock.dfddffbc,7,4,3,7,1.0,122838.022617,249.93931899999998,122588.083298,491.4713823678139,0.0,True,0,0,pass_with_proxy_fallbacks,3 proxy action(s) used same-kind representative costs
3,swesmith/antvis__G6.91c0ac85,antvis__G6.91c0ac85,7,4,3,7,1.0,117159.83980999999,271.920874,116887.91893599999,430.8600442715552,0.0,True,0,0,pass_with_proxy_fallbacks,3 proxy action(s) used same-kind representative costs
4,swesmith/Automattic__mongoose.5f57a5bb,Automattic__mongoose.5f57a5bb,6,5,1,6,1.0,7140.2145199999995,137.22566899999998,7002.988850999999,52.03264500025867,0.352764,True,0,0,pass_with_proxy_fallbacks,1 proxy action(s) used same-kind representative costs; cleanup/reset 0.353 ms
5,swesmith/axios__axios.ef36347f,axios__axios.ef36347f,9,4,5,9,1.0,218991.67398300002,368.93671700000004,218622.737266,593.5751685647487,0.0,True,0,0,pass_with_proxy_fallbacks,5 proxy action(s) used same-kind representative costs
6,swesmith/babel__babel.2ea3fc8f,babel__babel.2ea3fc8f,5,4,1,5,1.0,28606.521358,603.305273,28003.216085,47.41632907624197,0.0,True,0,0,pass_with_proxy_fallbacks,1 proxy action(s) used same-kind representative costs
7,swesmith/balderdashy__sails.ffebacc5,balderdashy__sails.ffebacc5,6,4,2,6,1.0,33256.238389,137.430574,33118.807815,241.98573447710402,0.0,True,0,0,pass_with_proxy_fallbacks,2 proxy action(s) used same-kind representative costs
8,swesmith/bluesky-social__social-app.cbd48c85,bluesky-social__social-app.cbd48c85,7,4,3,7,1.0,123001.14829,166.244899,122834.903391,739.8792325652049,0.0,True,0,0,pass_with_proxy_fallbacks,3 proxy action(s) used same-kind representative costs
9,swesmith/bootstrap-vue__bootstrap-vue.9a246f45,bootstrap-vue__bootstrap-vue.9a246f45,7,4,3,7,1.0,122869.09225100001,253.67841299999998,122615.41383800001,484.3498143888184,0.0,True,0,0,pass_with_proxy_fallbacks,3 proxy action(s) used same-kind representative costs
10,swesmith/bpampuch__pdfmake.719e7314,bpampuch__pdfmake.719e7314,8,4,4,8,1.0,212457.979392,365.72624800000006,212092.25314400002,580.9207858441705,0.0,True,0,0,pass_with_proxy_fallbacks,4 proxy action(s) used same-kind representative costs
11,swesmith/brianc__node-postgres.ecff60dc,brianc__node-postgres.ecff60dc,7,6,1,7,1.0,96840.336801,408.87023300000004,96431.466568,236.848586629685,0.0,True,0,0,pass_with_proxy_fallbacks,1 proxy action(s) used same-kind representative costs
12,swesmith/caolan__async.23dbf76a,caolan__async.23dbf76a,7,5,2,7,1.0,16337.03343,137.42910199999997,16199.604328,118.87608368422579,0.0,True,0,0,pass_with_proxy_fallbacks,2 proxy action(s) used same-kind representative costs
13,swesmith/coder__code-server.e90504b8,coder__code-server.e90504b8,5,5,0,5,1.0,1987.027376,124.87263,1862.154746,15.912433140873224,0.0,True,0,0,pass,exact object-backed path only
14,swesmith/directus__directus.ac922d18,directus__directus.ac922d18,5,4,1,5,1.0,26815.186245999997,165.091467,26650.094779,162.42624003092783,0.0,True,0,0,pass_with_proxy_fallbacks,1 proxy action(s) used same-kind representative costs
15,swesmith/Effect-TS__effect.5df4da10,Effect-TS__effect.5df4da10,8,6,2,8,1.0,115285.716421,16839.388257000002,98446.328164,6.8461938558294495,0.0,True,0,0,pass_with_proxy_fallbacks,2 proxy action(s) used same-kind representative costs
16,swesmith/emotion-js__emotion.b882bcba,emotion-js__emotion.b882bcba,8,4,4,8,1.0,212469.27263300002,370.00357500000007,212099.269058,574.2357290277532,0.0,True,0,0,pass_with_proxy_fallbacks,4 proxy action(s) used same-kind representative costs
17,swesmith/enzymejs__enzyme.61e1b47c,enzymejs__enzyme.61e1b47c,8,4,4,8,1.0,129392.17279499999,251.76228199999997,129140.410513,513.9458213005871,0.0,True,0,0,pass_with_proxy_fallbacks,4 proxy action(s) used same-kind representative costs
18,swesmith/fabricjs__fabric.js.6742471c,fabricjs__fabric.js.6742471c,9,5,4,9,1.0,106833.93514799999,264.318413,106569.61673499999,404.1865034502911,0.0,True,0,0,pass_with_proxy_fallbacks,4 proxy action(s) used same-kind representative costs
19,swesmith/foambubble__foam.2cac8162,foambubble__foam.2cac8162,6,6,0,6,1.0,9376.203716999999,2956.7460650000003,6419.457651999998,3.1711224132465357,0.0,True,0,0,pass,exact object-backed path only
20,swesmith/foliojs__pdfkit.d0108157,foliojs__pdfkit.d0108157,8,4,4,8,1.0,123663.01222099998,366.7660660000001,123296.24615499999,337.1713571260433,0.0,True,0,0,pass_with_proxy_fallbacks,4 proxy action(s) used same-kind representative costs
21,swesmith/FuelLabs__fuels-ts.b3f37c91,FuelLabs__fuels-ts.b3f37c91,9,5,4,9,1.0,282150.861734,391.96212900000006,281758.899605,719.842150194056,0.0,True,0,0,pass_with_proxy_fallbacks,4 proxy action(s) used same-kind representative costs
