sequence_index,profile_id,profile_slug,resource_action_count,exact_action_count,proxy_action_count,fresh_median_ms,fresh_p95_ms,reuse_median_ms,reuse_p95_ms,saved_ms,speedup_ratio,reuse_hit_count,reuse_hit_rate,cleanup_ms,measurement_environment_ids
1,swesmith/advplyr__audiobookshelf.626596b1,advplyr__audiobookshelf.626596b1,10,8,2,17572.035766,19055.942203500003,1357.453739,1586.7373881999997,16214.582027,12.944850539764877,10,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
2,swesmith/ajayyy__SponsorBlock.dfddffbc,ajayyy__SponsorBlock.dfddffbc,7,4,3,122838.022617,126696.67573979999,249.93931899999998,281.7218507999999,122588.083298,491.4713823678139,7,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
3,swesmith/antvis__G6.91c0ac85,antvis__G6.91c0ac85,7,4,3,117159.83980999999,119875.6591972,271.920874,404.02754799999985,116887.91893599999,430.8600442715552,7,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
4,swesmith/Automattic__mongoose.5f57a5bb,Automattic__mongoose.5f57a5bb,6,5,1,7140.2145199999995,9198.4674768,137.22566899999998,154.384704,7002.988850999999,52.03264500025867,6,1.0,0.352764,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
5,swesmith/axios__axios.ef36347f,axios__axios.ef36347f,9,4,5,218991.67398300002,226447.54227799998,368.93671700000004,421.6350112999999,218622.737266,593.5751685647487,9,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
6,swesmith/babel__babel.2ea3fc8f,babel__babel.2ea3fc8f,5,4,1,28606.521358,29349.9884184,603.305273,710.5615756999999,28003.216085,47.41632907624197,5,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
7,swesmith/balderdashy__sails.ffebacc5,balderdashy__sails.ffebacc5,6,4,2,33256.238389,34847.3672718,137.430574,154.4360164,33118.807815,241.98573447710402,6,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
8,swesmith/bluesky-social__social-app.cbd48c85,bluesky-social__social-app.cbd48c85,7,4,3,123001.14829,126872.064527,166.244899,321.57913339999976,122834.903391,739.8792325652049,7,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
9,swesmith/bootstrap-vue__bootstrap-vue.9a246f45,bootstrap-vue__bootstrap-vue.9a246f45,7,4,3,122869.09225100001,126723.93121079999,253.67841299999998,300.83748359999987,122615.41383800001,484.3498143888184,7,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
10,swesmith/bpampuch__pdfmake.719e7314,bpampuch__pdfmake.719e7314,8,4,4,212457.979392,218584.8162915,365.72624800000006,411.9267344999999,212092.25314400002,580.9207858441705,8,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
11,swesmith/brianc__node-postgres.ecff60dc,brianc__node-postgres.ecff60dc,7,6,1,96840.336801,99768.7040484,408.87023300000004,453.5082755999999,96431.466568,236.848586629685,7,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
12,swesmith/caolan__async.23dbf76a,caolan__async.23dbf76a,7,5,2,16337.03343,19026.8505038,137.42910199999997,157.1127737,16199.604328,118.87608368422579,7,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
13,swesmith/coder__code-server.e90504b8,coder__code-server.e90504b8,5,5,0,1987.027376,2126.431256,124.87263,135.7337157,1862.154746,15.912433140873224,5,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
14,swesmith/directus__directus.ac922d18,directus__directus.ac922d18,5,4,1,26815.186245999997,27238.666799599996,165.091467,240.8414087,26650.094779,162.42624003092783,5,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
15,swesmith/Effect-TS__effect.5df4da10,Effect-TS__effect.5df4da10,8,6,2,115285.716421,119170.4201198,16839.388257000002,17002.4313046,98446.328164,6.8461938558294495,8,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
16,swesmith/emotion-js__emotion.b882bcba,emotion-js__emotion.b882bcba,8,4,4,212469.27263300002,218596.66356800002,370.00357500000007,416.2197561999999,212099.269058,574.2357290277532,8,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
17,swesmith/enzymejs__enzyme.61e1b47c,enzymejs__enzyme.61e1b47c,8,4,4,129392.17279499999,134437.1166552,251.76228199999997,351.4013048999998,129140.410513,513.9458213005871,8,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
18,swesmith/fabricjs__fabric.js.6742471c,fabricjs__fabric.js.6742471c,9,5,4,106833.93514799999,111765.0658751,264.318413,285.25022329999996,106569.61673499999,404.1865034502911,9,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
19,swesmith/foambubble__foam.2cac8162,foambubble__foam.2cac8162,6,6,0,9376.203716999999,10263.8157301,2956.7460650000003,3039.9828916000006,6419.457651999998,3.1711224132465357,6,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
20,swesmith/foliojs__pdfkit.d0108157,foliojs__pdfkit.d0108157,8,4,4,123663.01222099998,127552.7853178,366.7660660000001,402.2435061999999,123296.24615499999,337.1713571260433,8,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
21,swesmith/FuelLabs__fuels-ts.b3f37c91,FuelLabs__fuels-ts.b3f37c91,9,5,4,282150.861734,290278.3204423,391.96212900000006,489.3797071999998,281758.899605,719.842150194056,9,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
22,swesmith/GitbookIO__gitbook.81f8ddcf,GitbookIO__gitbook.81f8ddcf,7,2,5,205942.34892800002,210919.2190806,247.538959,278.1484109,205694.80996900002,831.9593398952608,7,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
23,swesmith/homebridge__homebridge.3a341e08,homebridge__homebridge.3a341e08,7,6,1,94088.661096,96623.20530199999,1908.931606,1936.2986742,92179.72949,49.288649630121945,7,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
24,swesmith/humanlayer__12-factor-agents.d20c7283,humanlayer__12-factor-agents.d20c7283,5,5,0,1974.357667,2123.9169002,19.643387,20.8582201,1954.71428,100.510042743647,5,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
25,swesmith/iamkun__dayjs.c8a26460,iamkun__dayjs.c8a26460,8,6,2,109759.635758,117871.26205180002,6143.769772999999,7254.0543841,103615.86598500001,17.86519349086944,8,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
26,swesmith/jantimon__html-webpack-plugin.9a39db80,jantimon__html-webpack-plugin.9a39db80,8,4,4,212441.11404100002,218567.9360237,366.01449600000007,412.21596929999987,212075.09954500003,580.4172139701265,8,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
27,swesmith/jaredpalmer__formik.91475adb,jaredpalmer__formik.91475adb,8,5,3,191785.75443200002,199818.52158390003,366.620284,412.8497506999999,191419.134148,523.1182310469216,8,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
28,swesmith/josdejong__jsoneditor.0319b213,josdejong__jsoneditor.0319b213,8,7,1,105742.98291600001,108399.1552727,12616.439758,13049.566867100002,93126.54315800001,8.381364707024348,8,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
29,swesmith/josdejong__mathjs.04e6e2d7,josdejong__mathjs.04e6e2d7,10,7,3,54163.102719999995,57878.11843159999,31158.447607000002,31614.477380100005,23004.655112999993,1.7383119789264407,10,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
30,swesmith/marko-js__marko.24b9402c,marko-js__marko.24b9402c,9,4,5,213684.18450499998,219908.41010670003,513.213347,561.4859599999999,213170.97115799997,416.36521293550845,9,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
31,swesmith/marmelab__react-admin.823caa0b,marmelab__react-admin.823caa0b,8,4,4,129652.64712199998,134709.8905469,177.677977,196.12932319999996,129474.96914499998,729.7057818369914,8,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
32,swesmith/mholt__PapaParse.b10b87ef,mholt__PapaParse.b10b87ef,6,4,2,33280.241506,34873.0046995,133.246891,150.0477302,33146.994614999996,249.7637374968846,6,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
33,swesmith/microsoft__vscode.4166e90a,microsoft__vscode.4166e90a,10,5,5,198370.398816,205410.7564062,612.918632,693.5926139999999,197757.48018400001,323.648831115971,10,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
34,swesmith/mochajs__mocha.410ce0d2,mochajs__mocha.410ce0d2,10,4,6,308609.88993,318188.4502179,476.80501499999997,531.7186022,308133.084915,647.2454781751824,10,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
35,swesmith/NativeScript__NativeScript.3d6a4392,NativeScript__NativeScript.3d6a4392,7,6,1,98816.701317,102592.48906430001,203.42780599999998,325.87241089999986,98613.27351099999,485.75808420703316,6,0.8571428571428571,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
36,swesmith/necolas__react-native-web.a9de220b,necolas__react-native-web.a9de220b,6,4,2,33267.199436,34885.2105383,140.54743299999998,231.6456662999999,33126.652003,236.69731083597952,6,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
37,swesmith/nestjs__nest.346c9543,nestjs__nest.346c9543,11,4,7,392507.021547,403206.2835691,631.18071,718.2929846999998,391875.840837,621.8615609260302,11,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
38,swesmith/Netflix__falcor.39d64776,Netflix__falcor.39d64776,7,4,3,122847.33486199999,126706.3863283,253.136326,285.0640039999999,122594.19853599998,485.30108974561,7,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
39,swesmith/nightwatchjs__nightwatch.54c8550c,nightwatchjs__nightwatch.54c8550c,7,6,1,11062.395537,12411.7371432,233.961131,256.0461453,10828.434406,47.28304864024614,6,0.8571428571428571,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
40,swesmith/nock__nock.e7418da2,nock__nock.e7418da2,7,6,1,11417.271387,12847.1013311,681.991543,771.1523982,10735.279844,16.741074730599703,7,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
41,swesmith/novnc__noVNC.d44f7e04,novnc__noVNC.d44f7e04,6,4,2,33245.95589,34842.1174282,18.556122,26.022190399999996,33227.399767999996,1791.6435282113364,6,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
42,swesmith/OpenCut-app__OpenCut.e84c0cfd,OpenCut-app__OpenCut.e84c0cfd,6,2,4,116346.62364999998,119055.85314579998,128.79785600000002,144.73168899999996,116217.82579399997,903.3273321723613,6,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
43,swesmith/payloadcms__payload.8f660355,payloadcms__payload.8f660355,12,8,4,199383.858798,206700.49582359998,7682.801597,8110.5424674000005,191701.057201,25.951972894348323,10,0.8333333333333334,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
44,swesmith/react-hook-form__react-hook-form.3adba2b8,react-hook-form__react-hook-form.3adba2b8,10,4,6,219786.883544,227129.36637889995,484.25633700000003,589.2800741,219302.627207,453.86475457521993,10,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
45,swesmith/ReactiveX__rxjs.c15b37f8,ReactiveX__rxjs.c15b37f8,6,5,1,116337.48752499999,119018.8335407,143.65849,161.7235194,116193.82903499999,809.8197852768743,6,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
46,swesmith/reactjs__react-transition-group.2989b5b8,reactjs__react-transition-group.2989b5b8,9,4,5,302035.818693,310430.45701240003,480.942334,611.9568107999999,301554.876359,628.0083854980419,9,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
47,swesmith/Redocly__redoc.d41fd46f,Redocly__redoc.d41fd46f,9,4,5,218996.29173800003,226308.89669759996,367.51373900000004,487.8495873999998,218628.77799900004,595.8859996197313,9,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
48,swesmith/redux-saga__redux-saga.a4ace10d,redux-saga__redux-saga.a4ace10d,7,5,2,105874.15757,109901.1727389,251.824297,283.33010809999996,105622.333273,420.4286831385456,7,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
49,swesmith/refined-github__refined-github.d4a7c3fb,refined-github__refined-github.d4a7c3fb,8,7,1,16489.027946000002,17875.2528381,6960.3997930000005,7168.277921700001,9528.628153000001,2.368977132977741,8,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
50,swesmith/remy__nodemon.daad5c16,remy__nodemon.daad5c16,6,5,1,9614.937541,10922.9546334,135.84377500000002,152.8399542,9479.093766,70.77937535967325,6,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
51,swesmith/segmentio__evergreen.9b774aee,segmentio__evergreen.9b774aee,9,4,5,302086.673598,310486.71005030005,495.57248899999996,556.9065908999999,301591.10110900004,609.5711128105015,9,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
52,swesmith/Shopify__draggable.8a1eed57,Shopify__draggable.8a1eed57,9,8,1,100698.99570999999,103279.8872768,6683.077537,6823.7194045999995,94015.91817299998,15.067758102834052,9,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
53,swesmith/strapi__strapi.e5b87a54,strapi__strapi.e5b87a54,8,4,4,123901.37979299999,127835.01886279999,365.532058,447.8567135999999,123535.84773499999,338.9617328529909,8,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
54,swesmith/sveltejs__svelte.6c9717a9,sveltejs__svelte.6c9717a9,7,6,1,94592.34188200001,97302.9013341,3032.318237,3080.6187652999997,91560.02364500001,31.194727759044245,7,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
55,swesmith/svg__svgo.c06d8f68,svg__svgo.c06d8f68,8,4,4,212461.69365600002,218594.437224,252.46425699999998,285.15937649999995,212209.229399,841.551577164446,8,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
56,swesmith/tinacms__tinacms.dffb104f,tinacms__tinacms.dffb104f,8,6,2,120049.494205,123805.9201404,1438.4414279999999,1826.3671389999995,118611.05277699999,83.4580344170955,8,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
57,swesmith/trpc__trpc.2f40ba93,trpc__trpc.2f40ba93,9,6,3,218542.677193,224823.86663590005,10127.948735,10613.6795963,208414.728458,21.578177665706757,9,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
58,swesmith/ueberdosis__tiptap.2d6de06c,ueberdosis__tiptap.2d6de06c,9,7,2,170720.03404300002,174983.73011430004,7666.516232,7903.757826000001,163053.51781100003,22.26826747335582,9,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
59,swesmith/umijs__qiankun.693cdde7,umijs__qiankun.693cdde7,6,4,2,116299.445004,118972.1530257,251.049521,283.3882164999999,116048.395483,463.25300498780877,6,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
60,swesmith/vitejs__vite.8b47ff76,vitejs__vite.8b47ff76,7,5,2,98688.03975899999,102636.12704460001,271.975862,354.25811479999993,98416.06389699999,362.8558763755292,7,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
61,swesmith/voideditor__void.17e7a5b1,voideditor__void.17e7a5b1,11,6,5,215602.689266,222891.5735063,12047.882770999999,12323.7222731,203554.806495,17.895483659997844,11,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
62,swesmith/webpack__webpack.24e3c2d2,webpack__webpack.24e3c2d2,8,7,1,99413.338794,101915.7210477,2267.799869,2530.4775243999998,97145.538925,43.83691001703643,7,0.875,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
63,swesmith/websockets__ws.726c3732,websockets__ws.726c3732,6,4,2,33230.203901,34820.6974185,133.349877,213.09774509999994,33096.854024,249.1956096892388,6,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
64,swesmith/welldone-software__why-did-you-render.3ec3512d,welldone-software__why-did-you-render.3ec3512d,8,4,4,129391.99728099999,134442.2410627,135.022891,150.94002419999998,129256.97438999999,958.2967474826177,8,1.0,0.0,env:0fd7b54e0a2a55d4208d|env:7a9cda66bc6b151a7886
