seq,env,resource_kind,benchmark_id,scenario_name,transition_class,state_before,to_object_id,actual_ms,static_ms,latest_ms,fifo5_mean_ms,fifo5_median_ms,oracle_policy,oracle_abs_error_ms,recommended_policy,recommended_abs_error_ms,regret_ms,decision_changed,rolling_lookback,action_history_depth,kind_history_depth,active_window_level
0,env:7a9cda66bc6b151a7886,control_plane,CTL-001,default,exact_hit,exact_hit,control_plane:benchmark:ctl-001:default,0.003305,0.003525,0.003525,0.003525,0.003525,static,0.0002199999999999997,static,0.0002199999999999997,0.0,False,100,0,0,offline
1,env:7a9cda66bc6b151a7886,control_plane,CTL-001,default,exact_hit,exact_hit,control_plane:benchmark:ctl-001:default,0.003525,0.003525,0.003305,0.003305,0.003305,static,0.0,static,0.0,0.0,False,100,1,1,kind
2,env:7a9cda66bc6b151a7886,control_plane,CTL-001,default,exact_hit,exact_hit,control_plane:benchmark:ctl-001:default,0.004246,0.003525,0.003525,0.003415,0.003415,static,0.0007209999999999999,static,0.0007209999999999999,0.0,False,100,2,2,kind
3,env:7a9cda66bc6b151a7886,control_plane,CTL-001,default,exact_hit,exact_hit,control_plane:benchmark:ctl-001:default,0.004577,0.003525,0.004246,0.0036919999999999995,0.003525,latest,0.00033100000000000056,static,0.0010520000000000004,0.0007209999999999999,False,100,3,3,kind
4,env:7a9cda66bc6b151a7886,control_plane,CTL-001,default,exact_hit,exact_hit,control_plane:benchmark:ctl-001:default,0.005018,0.003525,0.004577,0.00391325,0.0038855,latest,0.00044099999999999955,latest,0.00044099999999999955,0.0,True,100,4,4,kind
5,env:7a9cda66bc6b151a7886,control_plane,CTL-001,default,exact_hit,exact_hit,control_plane:benchmark:ctl-001:default,0.003104,0.003525,0.005018,0.0041342,0.004246,static,0.00042099999999999993,latest,0.001914,0.001493,False,100,5,5,action
6,env:7a9cda66bc6b151a7886,control_plane,CTL-001,default,exact_hit,exact_hit,control_plane:benchmark:ctl-001:default,0.001803,0.003525,0.003104,0.0040939999999999995,0.004246,latest,0.001301,latest,0.001301,0.0,False,100,5,5,action
7,env:7a9cda66bc6b151a7886,control_plane,CTL-002,default,exact_hit,exact_hit,control_plane:benchmark:ctl-002:default,0.00028,0.000601,0.001803,0.0037496,0.004246,static,0.000321,latest,0.001523,0.001202,False,100,0,5,kind
8,env:7a9cda66bc6b151a7886,control_plane,CTL-002,default,exact_hit,exact_hit,control_plane:benchmark:ctl-002:default,0.000611,0.000601,0.00028,0.0029564,0.003104,static,1.0000000000000026e-05,static,1.0000000000000026e-05,0.0,True,100,1,5,kind
9,env:7a9cda66bc6b151a7886,control_plane,CTL-002,default,exact_hit,exact_hit,control_plane:benchmark:ctl-002:default,0.00053,0.000601,0.000611,0.0021631999999999997,0.001803,static,7.099999999999999e-05,static,7.099999999999999e-05,0.0,False,100,2,5,kind
10,env:7a9cda66bc6b151a7886,control_plane,CTL-002,default,exact_hit,exact_hit,control_plane:benchmark:ctl-002:default,0.000791,0.000601,0.00053,0.0012656,0.000611,fifo5_median,0.00018000000000000004,static,0.00019000000000000006,1.0000000000000026e-05,False,100,3,5,kind
11,env:7a9cda66bc6b151a7886,control_plane,CTL-002,default,exact_hit,exact_hit,control_plane:benchmark:ctl-002:default,0.000601,0.000601,0.000791,0.0008029999999999999,0.000611,static,0.0,static,0.0,0.0,False,100,4,5,kind
12,env:7a9cda66bc6b151a7886,control_plane,CTL-002,default,exact_hit,exact_hit,control_plane:benchmark:ctl-002:default,0.000521,0.000601,0.000601,0.0005626,0.000601,fifo5_mean,4.1600000000000035e-05,static,7.999999999999999e-05,3.839999999999996e-05,False,100,5,5,action
13,env:7a9cda66bc6b151a7886,control_plane,CTL-002,default,exact_hit,exact_hit,control_plane:benchmark:ctl-002:default,0.000601,0.000601,0.000521,0.0006108,0.000601,static,0.0,static,0.0,0.0,False,100,5,5,action
14,env:7a9cda66bc6b151a7886,control_plane,CTL-003,default,exact_hit,exact_hit,control_plane:benchmark:ctl-003:default,0.000271,0.000621,0.000601,0.0006087999999999999,0.000601,latest,0.00033,static,0.00035000000000000005,2.0000000000000052e-05,False,100,0,5,kind
15,env:7a9cda66bc6b151a7886,control_plane,CTL-003,default,exact_hit,exact_hit,control_plane:benchmark:ctl-003:default,0.000881,0.000621,0.000271,0.000557,0.000601,static,0.0002599999999999999,static,0.0002599999999999999,0.0,False,100,1,5,kind
16,env:7a9cda66bc6b151a7886,control_plane,CTL-003,default,exact_hit,exact_hit,control_plane:benchmark:ctl-003:default,0.001101,0.000621,0.000881,0.000575,0.000601,latest,0.00022000000000000003,static,0.00047999999999999996,0.0002599999999999999,False,100,2,5,kind
17,env:7a9cda66bc6b151a7886,control_plane,CTL-003,default,exact_hit,exact_hit,control_plane:benchmark:ctl-003:default,0.000621,0.000621,0.001101,0.000675,0.000601,static,0.0,static,0.0,0.0,False,100,3,5,kind
18,env:7a9cda66bc6b151a7886,control_plane,CTL-003,default,exact_hit,exact_hit,control_plane:benchmark:ctl-003:default,0.000611,0.000621,0.000621,0.000695,0.000621,static,1.0000000000000026e-05,static,1.0000000000000026e-05,0.0,False,100,4,5,kind
19,env:7a9cda66bc6b151a7886,control_plane,CTL-003,default,exact_hit,exact_hit,control_plane:benchmark:ctl-003:default,0.000641,0.000621,0.000611,0.0006969999999999999,0.000621,static,1.9999999999999944e-05,static,1.9999999999999944e-05,0.0,False,100,5,5,action
20,env:7a9cda66bc6b151a7886,control_plane,CTL-003,default,exact_hit,exact_hit,control_plane:benchmark:ctl-003:default,0.000601,0.000621,0.000641,0.000771,0.000641,static,2.0000000000000052e-05,static,2.0000000000000052e-05,0.0,False,100,5,5,action
21,env:7a9cda66bc6b151a7886,control_plane,CTL-004,default,exact_hit,exact_hit,control_plane:benchmark:ctl-004:default,0.000291,0.000501,0.000601,0.000715,0.000621,static,0.00021,static,0.00021,0.0,False,100,0,5,kind
22,env:7a9cda66bc6b151a7886,control_plane,CTL-004,default,exact_hit,exact_hit,control_plane:benchmark:ctl-004:default,0.000511,0.000501,0.000291,0.000553,0.000611,static,9.999999999999918e-06,static,9.999999999999918e-06,0.0,False,100,1,5,kind
23,env:7a9cda66bc6b151a7886,control_plane,CTL-004,default,exact_hit,exact_hit,control_plane:benchmark:ctl-004:default,0.000591,0.000501,0.000511,0.000531,0.000601,fifo5_median,9.999999999999918e-06,static,9.000000000000002e-05,8.00000000000001e-05,False,100,2,5,kind
24,env:7a9cda66bc6b151a7886,control_plane,CTL-004,default,exact_hit,exact_hit,control_plane:benchmark:ctl-004:default,0.000451,0.000501,0.000591,0.000527,0.000591,static,5.000000000000002e-05,static,5.000000000000002e-05,0.0,False,100,3,5,kind
25,env:7a9cda66bc6b151a7886,control_plane,CTL-004,default,exact_hit,exact_hit,control_plane:benchmark:ctl-004:default,0.000501,0.000501,0.000451,0.0004890000000000001,0.000511,static,0.0,static,0.0,0.0,False,100,4,5,kind
26,env:7a9cda66bc6b151a7886,control_plane,CTL-004,default,exact_hit,exact_hit,control_plane:benchmark:ctl-004:default,0.000501,0.000501,0.000501,0.00046899999999999996,0.000501,static,0.0,static,0.0,0.0,False,100,5,5,action
27,env:7a9cda66bc6b151a7886,control_plane,CTL-004,default,exact_hit,exact_hit,control_plane:benchmark:ctl-004:default,0.000481,0.000501,0.000501,0.000511,0.000501,static,2.0000000000000052e-05,static,2.0000000000000052e-05,0.0,False,100,5,5,action
28,env:7a9cda66bc6b151a7886,control_plane,CTL-005,default,exact_hit,exact_hit,control_plane:benchmark:ctl-005:default,0.000341,0.000491,0.000481,0.000505,0.000501,latest,0.00014,static,0.00015000000000000001,1.0000000000000026e-05,False,100,0,5,kind
29,env:7a9cda66bc6b151a7886,control_plane,CTL-005,default,exact_hit,exact_hit,control_plane:benchmark:ctl-005:default,0.000671,0.000491,0.000341,0.000455,0.000481,static,0.00018000000000000004,static,0.00018000000000000004,0.0,False,100,1,5,kind
30,env:7a9cda66bc6b151a7886,control_plane,CTL-005,default,exact_hit,exact_hit,control_plane:benchmark:ctl-005:default,0.000551,0.000491,0.000671,0.0004990000000000001,0.000501,fifo5_median,4.9999999999999914e-05,static,5.999999999999994e-05,1.0000000000000026e-05,False,100,2,5,kind
31,env:7a9cda66bc6b151a7886,control_plane,CTL-005,default,exact_hit,exact_hit,control_plane:benchmark:ctl-005:default,0.00048,0.000491,0.000551,0.000509,0.000501,static,1.0999999999999996e-05,static,1.0999999999999996e-05,0.0,False,100,3,5,kind
32,env:7a9cda66bc6b151a7886,control_plane,CTL-005,default,exact_hit,exact_hit,control_plane:benchmark:ctl-005:default,0.0005,0.000491,0.00048,0.0005048,0.000481,fifo5_mean,4.800000000000008e-06,static,9.000000000000002e-06,4.199999999999994e-06,False,100,4,5,kind
33,env:7a9cda66bc6b151a7886,control_plane,CTL-005,default,exact_hit,exact_hit,control_plane:benchmark:ctl-005:default,0.000491,0.000491,0.0005,0.0005086,0.0005,static,0.0,static,0.0,0.0,False,100,5,5,action
34,env:7a9cda66bc6b151a7886,control_plane,CTL-005,default,exact_hit,exact_hit,control_plane:benchmark:ctl-005:default,0.000351,0.000491,0.000491,0.0005386,0.0005,static,0.00014,static,0.00014,0.0,False,100,5,5,action
35,env:7a9cda66bc6b151a7886,control_plane,CTL-006,default,exact_hit,exact_hit,control_plane:benchmark:ctl-006:default,0.000291,0.000441,0.000351,0.00047460000000000004,0.000491,latest,5.9999999999999995e-05,static,0.00014999999999999996,8.999999999999997e-05,False,100,0,5,kind
